"PLANTID" "GARDENID" "YEAR" "SEASON" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"1" "GON_0961" "GON" 2022 "S2" 11.64 15.17 10
"2" "GON_0961" "GON" 2022 "S2" 10.31 12.22 10
"3" "GON_0961" "GON" 2022 "S2" 11.55 15.2 10
"4" "GON_0961" "GON" 2022 "S2" 9.15 11.69 10
"5" "GON_0961" "GON" 2022 "S2" 9.42 12.93 10
"6" "GON_0962" "GON" 2022 "S2" 10.8 12.93 10
"7" "GON_0962" "GON" 2022 "S2" 11.99 9.27 10
"8" "GON_0962" "GON" 2022 "S2" 11.68 10.05 7
"9" "GON_0962" "GON" 2022 "S2" 10.92 11.27 10
"10" "GON_0962" "GON" 2022 "S2" 9.06 10.86 6
"11" "GON_0965" "GON" 2021 "S3" 10.85 11.47 5
"12" "GON_0965" "GON" 2022 "S2" 9.32 15.48 10
"13" "GON_0965" "GON" 2022 "S2" 9.6 11.66 10
"14" "GON_0965" "GON" 2022 "S2" 13.03 13.59 10
"15" "GON_0965" "GON" 2022 "S2" 9.37 15.22 10
"16" "GON_0965" "GON" 2022 "S2" 12.18 14.33 10
"17" "GON_0967" "GON" 2022 "S2" 10.03 14.99 10
"18" "GON_0967" "GON" 2022 "S2" 11.9 12.34 10
"19" "GON_0967" "GON" 2022 "S2" 10.21 13.29 10
"20" "GON_0967" "GON" 2022 "S2" 10.75 12.18 10
"21" "GON_0967" "GON" 2022 "S2" 9.77 11.13 10
"22" "GON_0969" "GON" 2021 "S3" 18.02 15.04 8
"23" "GON_0969" "GON" 2022 "S2" 9.93 11.7 10
"24" "GON_0969" "GON" 2022 "S2" 14.93 14.39 10
"25" "GON_0969" "GON" 2022 "S2" 11.67 14.01 10
"26" "GON_0969" "GON" 2022 "S2" 12.23 15.13 10
"27" "GON_0969" "GON" 2022 "S2" 12.86 12.08 10
"28" "GON_0970" "GON" 2021 "S3" 13.54 12.62 10
"29" "GON_0970" "GON" 2021 "S3" 15.36 13.02 NA
"30" "GON_0970" "GON" 2021 "S3" 14.7 11.04 NA
"31" "GON_0970" "GON" 2021 "S3" 13.04 11.4 NA
"32" "GON_0971" "GON" 2022 "S2" 8.89 14.4 10
"33" "GON_0971" "GON" 2022 "S2" 9.96 11.18 10
"34" "GON_0971" "GON" 2022 "S2" 12 9.98 10
"35" "GON_0976" "GON" 2021 "S2" NA NA 10
"36" "GON_0976" "GON" 2021 "S2" 18.96 15.88 6
"37" "GON_0977" "GON" 2021 "S2" NA NA 10
"38" "GON_0977" "GON" 2021 "S2" 16.46 13 5
"39" "GON_0977" "GON" 2022 "S2" 12.6 11.39 10
"40" "GON_0977" "GON" 2022 "S2" 13.54 13.98 10
"41" "GON_0977" "GON" 2022 "S2" 10.07 10.93 10
"42" "GON_0977" "GON" 2022 "S2" 12.13 12.38 10
"43" "GON_0977" "GON" 2022 "S2" 10.73 10.27 10
"44" "GON_0978" "GON" 2022 "S2" 10.76 10.75 10
"45" "GON_0978" "GON" 2022 "S2" 9.73 14.42 8
"46" "GON_0978" "GON" 2022 "S2" 11.91 11.57 9
"47" "GON_0978" "GON" 2022 "S2" 9.71 10.33 8
"48" "GON_0978" "GON" 2022 "S2" 14.9 9.35 6
"49" "GON_0982" "GON" 2021 "S2" 23.99 16.54 10
"50" "GON_0982" "GON" 2022 "S2" 9.02 16.29 10
"51" "GON_0982" "GON" 2022 "S2" 8.15 11.59 9
"52" "GON_0982" "GON" 2022 "S2" 9.03 13.78 10
"53" "GON_0982" "GON" 2022 "S2" 8.4 11.31 10
"54" "GON_0983" "GON" 2022 "S2" 9.92 14.1 10
"55" "GON_0983" "GON" 2022 "S2" 8.33 12.74 10
"56" "GON_0983" "GON" 2022 "S2" 7.88 12.01 10
"57" "GON_0983" "GON" 2022 "S2" 7.96 13.01 10
"58" "GON_0983" "GON" 2022 "S2" 6.43 8.08 10
"59" "GON_0985" "GON" 2022 "S2" 6.57 10.65 10
"60" "GON_0986" "GON" 2022 "S2" 10.09 16.42 10
"61" "GON_0986" "GON" 2022 "S2" 8.76 14.02 6
"62" "GON_0986" "GON" 2022 "S2" 8.62 13.52 10
"63" "GON_0986" "GON" 2022 "S2" 8.55 13.33 10
"64" "GON_0986" "GON" 2022 "S2" 9.41 15.93 10
"65" "GON_0988" "GON" 2022 "S2" 11.71 16.02 10
"66" "GON_0988" "GON" 2022 "S2" 6.86 10.08 8
"67" "GON_0988" "GON" 2022 "S2" 5.67 4.95 9
"68" "GON_0990" "GON" 2021 "S2" NA NA 10
"69" "GON_0990" "GON" 2021 "S2" NA NA 10
"70" "GON_0991" "GON" 2022 "S2" 8.47 10.6 10
"71" "GON_0991" "GON" 2022 "S2" 9.68 11.8 10
"72" "GON_0992" "GON" 2022 "S2" 9.59 13.24 10
"73" "GON_0992" "GON" 2022 "S2" 9.03 12.04 10
"74" "GON_0992" "GON" 2022 "S2" 8.55 11.04 10
"75" "GON_0993" "GON" 2022 "S2" 7.73 9.75 10
"76" "GON_0994" "GON" 2021 "S3" 13.52 12.44 10
"77" "GON_0994" "GON" 2022 "S2" 9.75 11.93 10
"78" "GON_0994" "GON" 2022 "S2" 8.93 11.96 10
"79" "GON_0994" "GON" 2022 "S2" 9.23 14.18 9
"80" "GON_0994" "GON" 2022 "S2" 9.02 13.67 10
"81" "GON_0996" "GON" 2022 "S2" 5.24 5.55 2
"82" "GON_0996" "GON" 2022 "S2" 7.67 9.59 10
"83" "GON_0996" "GON" 2022 "S2" 9.74 11.7 10
"84" "GON_0996" "GON" 2022 "S2" 8.55 11.23 10
"85" "GON_0996" "GON" 2022 "S2" 7.63 9.26 10
"86" "GON_1002" "GON" 2022 "S2" 8.59 12.97 10
"87" "GON_1002" "GON" 2022 "S2" 9.78 12.85 10
"88" "GON_1002" "GON" 2022 "S2" 10.18 10.16 10
"89" "GON_1002" "GON" 2022 "S2" 10.33 12.78 10
"90" "GON_1002" "GON" 2022 "S2" 9.73 10.02 10
"91" "GON_1003" "GON" 2022 "S2" 12.47 12.92 10
"92" "GON_1003" "GON" 2022 "S2" 9.23 11.83 10
"93" "GON_1003" "GON" 2022 "S2" 13.8 14.08 10
"94" "GON_1003" "GON" 2022 "S2" 8.78 12.08 10
"95" "GON_1003" "GON" 2022 "S2" 7.97 10.24 10
"96" "GON_1005" "GON" 2022 "S2" 5.99 8.13 10
"97" "GON_1006" "GON" 2021 "S3" 16.36 13.13 10
"98" "GON_1006" "GON" 2022 "S2" 9.3 13.23 10
"99" "GON_1006" "GON" 2022 "S2" 9.11 9.48 7
"100" "GON_1006" "GON" 2022 "S2" 10.62 10.19 10
"101" "GON_1006" "GON" 2022 "S2" 9.49 9.74 10
"102" "GON_1006" "GON" 2022 "S2" 6.63 8.34 6
"103" "GON_1007" "GON" 2022 "S2" 10.36 11.63 10
"104" "GON_1007" "GON" 2022 "S2" 12.4 11.98 10
"105" "GON_1007" "GON" 2022 "S2" 10.19 11.01 10
"106" "GON_1007" "GON" 2022 "S2" 10.37 13.33 10
"107" "GON_1007" "GON" 2022 "S2" 11.12 14.31 10
"108" "GON_1008" "GON" 2021 "S3" 18.09 13.61 10
"109" "GON_1008" "GON" 2021 "S3" 17.2 11.2 NA
"110" "GON_1008" "GON" 2021 "S3" 13.94 10.61 NA
"111" "GON_1008" "GON" 2021 "S3" 15.09 13.01 NA
"112" "GON_1008" "GON" 2021 "S3" 18.05 12.43 NA
"113" "GON_1008" "GON" 2022 "S2" 11.01 10.91 10
"114" "GON_1008" "GON" 2022 "S2" 8.65 10.94 10
"115" "GON_1009" "GON" 2021 "S3" 12.76 11.06 10
"116" "GON_1009" "GON" 2021 "S3" 14.57 12.14 NA
"117" "GON_1009" "GON" 2022 "S2" 10 12.5 10
"118" "GON_1009" "GON" 2022 "S2" 8.86 12.64 10
"119" "GON_1009" "GON" 2022 "S2" 8.32 9.21 7
"120" "GON_1009" "GON" 2022 "S2" 9.18 12.39 9
"121" "GON_1009" "GON" 2022 "S2" 8.48 9.65 6
"122" "GON_1010" "GON" 2021 "S3" 13.49 10.84 10
"123" "GON_1010" "GON" 2021 "S3" 16.01 12.9 NA
"124" "GON_1010" "GON" 2021 "S3" 15.38 11.42 NA
"125" "GON_1010" "GON" 2021 "S3" 12.92 11.62 NA
"126" "GON_1010" "GON" 2022 "S2" 10.86 13.39 10
"127" "GON_1010" "GON" 2022 "S2" 11.25 11.2 10
"128" "GON_1010" "GON" 2022 "S2" 11.62 15.31 10
"129" "GON_1010" "GON" 2022 "S2" 10.81 11.91 10
"130" "GON_1010" "GON" 2022 "S2" 12.51 14.87 10
"131" "GON_1013" "GON" 2021 "S2" 14.5 16.05 10
"132" "GON_1013" "GON" 2021 "S2" 13.35 14.28 6
"133" "GON_1013" "GON" 2022 "S2" 11.12 14.98 10
"134" "GON_1013" "GON" 2022 "S2" 10.04 12.12 10
"135" "GON_1013" "GON" 2022 "S2" 9.98 15.64 10
"136" "GON_1015" "GON" 2022 "S2" 6.64 8.56 10
"137" "GON_1015" "GON" 2022 "S2" 8.68 11.65 10
"138" "GON_1015" "GON" 2022 "S2" 8.15 11.53 9
"139" "GON_1017" "GON" 2022 "S2" 9.13 11.35 10
"140" "GON_1017" "GON" 2022 "S2" 7.18 8.86 10
"141" "GON_1017" "GON" 2022 "S2" 7.67 7.08 10
"142" "GON_1017" "GON" 2022 "S2" 8.31 8.81 10
"143" "GON_1017" "GON" 2022 "S2" 4.26 4.01 10
"144" "GON_1018" "GON" 2021 "S3" 11.73 10.02 10
"145" "GON_1018" "GON" 2021 "S3" 12.08 10.43 NA
"146" "GON_1018" "GON" 2022 "S2" 9.78 11.72 6
"147" "GON_1018" "GON" 2022 "S2" 11.97 12.05 10
"148" "GON_1018" "GON" 2022 "S2" 10.62 14.23 8
"149" "GON_1022" "GON" 2022 "S2" 10.47 11.18 10
"150" "GON_1022" "GON" 2022 "S2" 10.55 11.49 9
"151" "GON_1022" "GON" 2022 "S2" 10.56 11.05 10
"152" "GON_1022" "GON" 2022 "S2" 11.39 11.65 9
"153" "GON_1022" "GON" 2022 "S2" 10.91 10.16 10
"154" "GON_1029" "GON" 2021 "S3" 9.83 11.03 8
"155" "GON_1029" "GON" 2021 "S3" 11.68 10.42 10
"156" "GON_1029" "GON" 2022 "S2" 10.44 9.78 10
"157" "GON_1029" "GON" 2022 "S2" 10.5 13.59 9
"158" "GON_1029" "GON" 2022 "S2" 8.24 9.29 9
"159" "GON_1029" "GON" 2022 "S2" 10.19 11.12 9
"160" "GON_1029" "GON" 2022 "S2" 9.48 11.33 8
"161" "GON_1030" "GON" 2022 "S2" 10.82 15.88 9
"162" "GON_1030" "GON" 2022 "S2" 9.23 12.15 6
"163" "GON_1030" "GON" 2022 "S2" 12.71 16.39 6
"164" "GON_1030" "GON" 2022 "S2" 8.55 7.61 5
"165" "GON_1031" "GON" 2022 "S2" 12.81 13.19 10
"166" "GON_1031" "GON" 2022 "S2" 12.56 12.88 10
"167" "GON_1031" "GON" 2022 "S2" 13.12 14.15 10
"168" "GON_1033" "GON" 2022 "S2" 11.16 11.21 10
"169" "GON_1033" "GON" 2022 "S2" 10.14 12.84 10
"170" "GON_1035" "GON" 2022 "S2" 12.88 13.24 10
"171" "GON_1039" "GON" 2022 "S2" 7.13 8.14 10
"172" "GON_1039" "GON" 2022 "S2" 6.99 5.44 8
"173" "GON_1041" "GON" 2021 "S2" NA NA NA
"174" "GON_1041" "GON" 2021 "S2" 19.59 13.94 10
"175" "GON_1041" "GON" 2021 "S2" 15.99 13.32 9
"176" "GON_1041" "GON" 2021 "S2" NA NA 10
"177" "GON_1042" "GON" 2021 "S2" NA NA 10
"178" "GON_1042" "GON" 2021 "S2" 20.56 12.88 10
"179" "GON_1042" "GON" 2021 "S2" 14.35 11.1 10
"180" "GON_1042" "GON" 2021 "S2" NA NA 10
"181" "GON_1042" "GON" 2021 "S3" 14.3 9.37 10
"182" "GON_1042" "GON" 2021 "S3" 11.52 7.73 6
"183" "GON_1043" "GON" 2022 "S2" 12.24 9.89 10
"184" "GON_1043" "GON" 2022 "S2" 10.62 9.94 10
"185" "GON_1043" "GON" 2022 "S2" 11.55 10.75 10
"186" "GON_1043" "GON" 2022 "S2" 10.19 8.47 10
"187" "GON_1043" "GON" 2022 "S2" 10.38 9.4 10
"188" "GON_1044" "GON" 2022 "S2" 10.5 10.25 10
"189" "GON_1044" "GON" 2022 "S2" 11.48 13.39 9
"190" "GON_1044" "GON" 2022 "S2" 11.8 11.82 10
"191" "GON_1044" "GON" 2022 "S2" 9.91 10.7 10
"192" "GON_1044" "GON" 2022 "S2" 8.59 8.23 10
"193" "GON_1046" "GON" 2022 "S2" 12.32 10.81 10
"194" "GON_1046" "GON" 2022 "S2" 8.75 7.62 10
"195" "GON_1046" "GON" 2022 "S2" 8.07 6.69 9
"196" "GON_1046" "GON" 2022 "S2" 11.07 9.56 10
"197" "GON_1046" "GON" 2022 "S2" 10.47 9.22 10
"198" "GON_1047" "GON" 2021 "S3" 14.64 11.03 10
"199" "GON_1047" "GON" 2021 "S3" 12.8 12.38 NA
"200" "GON_1047" "GON" 2021 "S3" 14.52 11.1 NA
"201" "GON_1047" "GON" 2021 "S3" 12.47 10.03 NA
"202" "GON_1047" "GON" 2021 "S3" 15.19 9.65 NA
"203" "GON_1047" "GON" 2022 "S2" 9.69 10.56 10
"204" "GON_1047" "GON" 2022 "S2" 11.9 12.09 10
"205" "GON_1047" "GON" 2022 "S2" 8.81 9.76 10
"206" "GON_1047" "GON" 2022 "S2" 11.19 10.76 10
"207" "GON_1047" "GON" 2022 "S2" 10.61 10.18 10
"208" "GON_1048" "GON" 2022 "S2" 11.66 9.95 10
"209" "GON_1048" "GON" 2022 "S2" 10.45 9.94 10
"210" "GON_1048" "GON" 2022 "S2" 11.98 11 10
"211" "GON_1048" "GON" 2022 "S2" 12.05 11.71 10
"212" "GON_1048" "GON" 2022 "S2" 9.8 7.37 9
"213" "GON_1049" "GON" 2021 "S3" 12.5 8.95 10
"214" "GON_1049" "GON" 2022 "S2" 8.21 9.99 7
