"PLANTID" "LENGTHFRUIT" "WIDTHFRUIT" "NFERT"
"1" "ALN_0931" 14.74 10.98 7
"2" "ALN_0931" NA NA 7
"3" "ALN_0811" 14.07 11.09 7
"4" "ALN_0811" 6.83 4.14 3
"5" "ALN_0811" 11.48 7.7 6
"6" "ALN_0811" 9.38 10.42 5
"7" "ALN_0891" 13.19 9.73 7
"8" "ALN_0891" 22.07 10 4
"9" "ALN_0851" 19.73 NA NA
"10" "ALN_0671" 17.13 13.2 7
"11" "ALN_0831" 19.66 12.59 8
"12" "ALN_0731" 19.46 13.44 10
"13" "ALN_0731" 15.95 9.44 7
"14" "ALN_0871" 4.94 3.44 NA
"15" "ALN_0923" NA NA 10
"16" "ALN_0923" 17.76 14.91 9
"17" "ALN_0643" 20.18 11.89 7
"18" "ALN_0883" 22.1 12.58 5
"19" "ALN_0683" 28.82 12.87 5
"20" "ALN_0723" 13.7 8.83 4
"21" "ALN_0723" 16.32 10.58 7
"22" "ALN_0723" 19.61 11.37 7
"23" "ALN_0723" 10.95 11 NA
"24" "ALN_0723" 12 6.9 NA
"25" "ALN_0903" 20.22 10.99 7
"26" "ALN_0943" 14.45 8.75 10
"27" "ALN_0943" 17.9 11.77 7
"28" "ALN_0843" 22.8 14.76 9
"29" "ALN_0843" 20.76 17.11 6
"30" "ALN_0843" 17.41 12.57 8
"31" "ALN_0843" 8.53 5.79 NA
"32" "ALN_0936" 12.28 NA NA
"33" "ALN_0936" 9.8 6.51 NA
"34" "ALN_0816" 21.05 10.23 5
"35" "ALN_0776" 15.8 8.4 9
"36" "ALN_0776" 16.46 14.94 9
"37" "ALN_0776" 12.09 8.25 9
"38" "ALN_0776" 10.91 7.12 NA
"39" "ALN_0876" 21.08 15.29 8
"40" "ALN_0876" 19.87 11.82 6
"41" "ALN_0712" 27.05 15.9 6
"42" "ALN_0912" 14.05 11.57 7
"43" "ALN_0684" 26.6 14.4 6
"44" "ALN_0664" 10.35 9.18 9
"45" "ALN_0804" 17.13 12.23 9
"46" "ALN_0804" 20.79 9.9 9
"47" "ALN_0644" 16.56 13.71 10
"48" "ALN_0644" 22.1 13.85 6
"49" "ALN_0844" 22.72 15.1 9
"50" "ALN_0944" 14.53 13.42 6
"51" "ALN_0824" 17.73 11.08 6
"52" "ALN_0957" 20.79 13.45 8
"53" "ALN_0777" 21.47 11.47 9
"54" "ALN_0697" 20.96 15.3 9
"55" "ALN_0697" 22.8 15.17 5
"56" "ALN_0697" 19.28 9.93 7
"57" "ALN_0809" 20.66 12.33 9
"58" "ALN_0809" 15.65 11.69 8
"59" "ALN_0809" 10.34 8.63 7
"60" "ALN_0809" 11.21 NA NA
"61" "ALN_0809" 11.71 7.88 6
"62" "ALN_0649" 14.44 9.87 7
"63" "ALN_0649" 19.91 11.08 4
"64" "ALN_0649" 19.02 15.41 7
"65" "ALN_0729" 19.27 12.53 10
"66" "ALN_0789" 9.01 7.92 3
"67" "ALN_0849" 25.47 13.5 8
"68" "ALN_0949" 21.38 14.38 7
"69" "ALN_0833" 20.52 11.74 8
"70" "ALN_0653" 22.48 16.58 5
"71" "ALN_0953" 13.95 13.51 10
"72" "ALN_0673" 12.86 14.86 9
"73" "ALN_0693" 15.45 9.5 8
"74" "ALN_0733" 21.05 9.98 7
"75" "ALN_0793" 12.45 9.2 4
"76" "ALN_0793" 14.1 11.37 3
"77" "ALN_0690" 13.19 7 9
"78" "ALN_0770" 12.17 7.38 10
"79" "ALN_0770" 5.39 15.18 NA
"80" "ALN_0930" 16.86 12.14 8
"81" "ALN_0930" 15.53 11.59 8
"82" "ALN_0930" 16.36 10.31 10
"83" "ALN_0750" 7.35 5.96 0
"84" "ALN_0750" 7.58 6.09 NA
"85" "ALN_0890" 11.13 8.24 9
"86" "ALN_0890" 13.57 8.89 NA
"87" "ALN_0890" 19.93 9.83 NA
"88" "ALN_0870" 23.79 10.59 9
"89" "ALN_0870" 18.27 11.76 10
"90" "ALN_0650" 29.52 20.71 0
"91" "ALN_0950" 16.61 10.38 NA
"92" "ALN_0950" 18.31 12 NA
"93" "ALN_0950" 15.33 12.84 NA
"94" "ALN_0850" 18.83 10.09 5
"95" "ALN_0850" 10.01 12.3 7
"96" "ALN_0850" 15.18 15.76 0
"97" "ALN_0670" 22.04 14.74 6
"98" "ALN_0670" 19.05 12.94 10
"99" "ALN_0810" 18.52 13.45 8
"100" "ALN_0810" 20.47 12.15 10
