"PLANTID" "GARDENID" "YEAR" "SEASON" "LEAFNR" "PERCENTDAMAGE"
"1" "ALN_0648" "ALN" 2021 "S3" 20 0.08
"2" "KEV_0227" "KEV" 2022 "S2" 6 0
"3" "RUI_0447" "RUI" 2021 "S2" 7 0.02
"4" "ALN_0948" "ALN" 2022 "S2" 8 0
"5" "ALN_0654" "ALN" 2021 "S3" 26 0.15
"6" "RUI_0446" "RUI" 2021 "S3" 4 0.01
"7" "RUI_0427" "RUI" 2021 "S3" 47 0.08
"8" "GON_1075" "GON" 2022 "S1" 3 0
"9" "RAS_1528" "RAS" 2022 "S1" 1 0
"10" "RAS_1562" "RAS" 2022 "S1" 1 0
"11" "RUI_0635" "RUI" 2021 "S3" 7 0.025
"12" "GON_0961" "GON" 2022 "S1" 5 0
"13" "ALN_0802" "ALN" 2021 "S2" 13 0.06
"14" "KEV_0198" "KEV" 2022 "S2" 7 0
"15" "ALN_0879" "ALN" 2022 "S1" 6 0
"16" "RUI_0352" "RUI" 2021 "S2" 11 0.03
"17" "ALN_0884" "ALN" 2022 "S2" 10 0.06
"18" "ALN_0753" "ALN" 2021 "S2" 6 0.02
"19" "RUI_0328" "RUI" 2021 "S2" 25 0.05
"20" "ALN_0939" "ALN" 2021 "S3" 8 0.08
"21" "RAS_1320" "RAS" 2021 "S3" 2 0.06
"22" "ALN_0693" "ALN" 2021 "S2" 9 0.01
"23" "RUI_0597" "RUI" 2021 "S3" 54 0.08
"24" "GON_1280" "GON" 2021 "S3" 2 0.01
"25" "RAS_1546" "RAS" 2022 "S2" 8 0
"26" "GON_1041" "GON" 2022 "S1" 9 0
"27" "RAS_1447" "RAS" 2021 "S3" 7 0.02
"28" "GON_1045" "GON" 2022 "S1" 3 0
"29" "ALN_0913" "ALN" 2021 "S3" 17 0.35
"30" "KEV_0220" "KEV" 2022 "S2" 3 0
"31" "RUI_0424" "RUI" 2021 "S3" 25 0.08
"32" "RUI_0434" "RUI" 2021 "S1" 2 0.04
"33" "ALN_0674" "ALN" 2022 "S1" 9 0.1
"34" "ALN_0748" "ALN" 2021 "S3" 9 0.08
"35" "GON_1086" "GON" 2022 "S1" 3 0
"36" "RUI_0452" "RUI" 2021 "S2" 28 0.08
"37" "RUI_0522" "RUI" 2021 "S2" 9 0.01
"38" "RUI_0587" "RUI" 2021 "S2" 26 0.01
"39" "GON_1048" "GON" 2022 "S2" 9 0
"40" "ALN_0940" "ALN" 2022 "S2" 8 0
"41" "RAS_1582" "RAS" 2022 "S1" 6 0
"42" "ALN_0741" "ALN" 2021 "S3" 34 0.15
"43" "ALN_0754" "ALN" 2021 "S3" 4 0.01
"44" "RAS_1516" "RAS" 2022 "S2" 10 0
"45" "RUI_0400" "RUI" 2021 "S3" 7 0.025
"46" "GON_1273" "GON" 2022 "S1" 7 0.02
"47" "RAS_1292" "RAS" 2022 "S1" 10 0
"48" "RUI_0459" "RUI" 2021 "S3" 3 0.01
"49" "GON_0962" "GON" 2021 "S3" 6 0.0417
"50" "GON_1035" "GON" 2022 "S2" 10 0
"51" "ALN_0704" "ALN" 2021 "S3" 11 0.16
"52" "ALN_0830" "ALN" 2021 "S3" 10 0.15
"53" "ALN_0874" "ALN" 2021 "S3" 14 0.06
"54" "GON_0969" "GON" 2022 "S2" 2 0
"55" "ALN_0937" "ALN" 2022 "S2" 7 0
"56" "RUI_0523" "RUI" 2021 "S1" 3 0.01
"57" "RAS_1480" "RAS" 2022 "S2" 6 0
"58" "RUI_0502" "RUI" 2021 "S2" 9 0.05
"59" "GON_1190" "GON" 2022 "S1" 6 0
"60" "RUI_0533" "RUI" 2021 "S3" 15 0.05
"61" "ALN_0717" "ALN" 2022 "S1" 9 0
"62" "KEV_0232" "KEV" 2021 "S2" 1 0.08
"63" "RUI_0605" "RUI" 2021 "S1" 9 0.02
"64" "RUI_0441" "RUI" 2021 "S2" 3 0.01
"65" "RUI_0599" "RUI" 2021 "S2" 2 0.05
"66" "RUI_0577" "RUI" 2021 "S3" 29 0.08
"67" "RUI_0554" "RUI" 2021 "S3" 11 0.01
"68" "KEV_0307" "KEV" 2022 "S2" 2 0
"69" "KEV_0296" "KEV" 2022 "S2" 6 0
"70" "GON_1160" "GON" 2022 "S2" 6 0
"71" "RUI_0393" "RUI" 2021 "S2" 3 0.08
"72" "GON_1182" "GON" 2022 "S2" 7 0
"73" "RUI_0607" "RUI" 2021 "S3" 6 0.025
"74" "RUI_0444" "RUI" 2021 "S2" 17 0.05
"75" "KEV_0267" "KEV" 2021 "S2" 2 0.03
"76" "RUI_0587" "RUI" 2021 "S3" 40 0.05
"77" "ALN_0655" "ALN" 2022 "S1" 2 0
"78" "GON_1238" "GON" 2022 "S2" 9 0.166666666666666
"79" "ALN_0935" "ALN" 2021 "S3" 11 0.02
"80" "ALN_0642" "ALN" 2022 "S2" 5 0
"81" "GON_1121" "GON" 2021 "S4" 1 0.01
"82" "RUI_0365" "RUI" 2021 "S2" 15 0.03
"83" "ALN_0920" "ALN" 2021 "S2" 8 0.02
"84" "ALN_0801" "ALN" 2021 "S3" 4 0.04
"85" "RUI_0615" "RUI" 2021 "S3" 2 0.01
"86" "RUI_0606" "RUI" 2021 "S2" 26 0.03
"87" "ALN_0878" "ALN" 2021 "S1" 2 0.38
"88" "RUI_0434" "RUI" 2021 "S1" 17 0.02
"89" "GON_1189" "GON" 2022 "S1" 4 0
"90" "GON_1091" "GON" 2022 "S2" 10 0.01
"91" "KEV_0268" "KEV" 2022 "S1" 2 0.01
"92" "ALN_0698" "ALN" 2022 "S2" 9 0
"93" "RUI_0602" "RUI" 2021 "S1" 2 0.05
"94" "RAS_1382" "RAS" 2022 "S1" 4 0
"95" "RUI_0343" "RUI" 2021 "S2" 20 0.03
"96" "KEV_0198" "KEV" 2022 "S2" 4 0
"97" "ALN_0865" "ALN" 2022 "S1" 5 0.9
"98" "ALN_0923" "ALN" 2022 "S2" 5 0.15
"99" "GON_1017" "GON" 2021 "S4" 4 0.05
"100" "ALN_0914" "ALN" 2021 "S1" 3 0.01
"101" "RUI_0635" "RUI" 2021 "S3" 45 0.08
"102" "RUI_0564" "RUI" 2021 "S2" 33 0.03
"103" "ALN_0764" "ALN" 2021 "S3" 5 0.16
"104" "ALN_0733" "ALN" 2021 "S1" 1 0.01
"105" "ALN_0670" "ALN" 2021 "S3" 2 0.01
"106" "RUI_0567" "RUI" 2021 "S2" 11 0.01
"107" "ALN_0887" "ALN" 2021 "S3" 2 0.02
"108" "RUI_0555" "RUI" 2021 "S2" 30 0.05
"109" "ALN_0722" "ALN" 2021 "S3" 16 0.2
"110" "ALN_0826" "ALN" 2021 "S3" 15 0.15
"111" "KEV_0193" "KEV" 2022 "S2" 5 0
"112" "GON_1213" "GON" 2021 "S2" 1 0.01
"113" "ALN_0676" "ALN" 2021 "S1" 4 0.02
"114" "ALN_0760" "ALN" 2022 "S2" 6 0.05
"115" "RUI_0546" "RUI" 2021 "S2" 6 0.03
"116" "RAS_1305" "RAS" 2021 "S3" 1 0.1
"117" "RAS_1407" "RAS" 2022 "S1" 8 0
"118" "ALN_0844" "ALN" 2021 "S2" 10 0.03
"119" "GON_1018" "GON" 2021 "S3" 2 0.0833
"120" "RUI_0546" "RUI" 2021 "S2" 7 0.01
"121" "RUI_0639" "RUI" 2021 "S2" 34 0.01
"122" "RUI_0429" "RUI" 2021 "S2" 2 0.1
"123" "RUI_0350" "RUI" 2021 "S2" 26 0.03
"124" "RAS_1296" "RAS" 2022 "S2" 3 0
"125" "RUI_0547" "RUI" 2021 "S2" 16 0.01
"126" "ALN_0666" "ALN" 2021 "S2" 2 0.1
"127" "RAS_1343" "RAS" 2022 "S1" 3 0
"128" "ALN_0778" "ALN" 2021 "S3" 27 0.1
"129" "GON_0991" "GON" 2022 "S1" 5 0
"130" "ALN_0827" "ALN" 2021 "S1" 2 0.01
"131" "RUI_0560" "RUI" 2021 "S2" 1 0.03
"132" "GON_1065" "GON" 2022 "S1" 10 0.01
"133" "GON_1182" "GON" 2022 "S2" 5 0
"134" "ALN_0826" "ALN" 2021 "S2" 1 0.08
"135" "KEV_0265" "KEV" 2022 "S2" 2 0
"136" "KEV_0191" "KEV" 2022 "S2" 7 0
"137" "ALN_0757" "ALN" 2022 "S2" 4 0
"138" "RUI_0596" "RUI" 2021 "S2" 22 0.08
"139" "RUI_0581" "RUI" 2021 "S3" 9 0.5
"140" "GON_1039" "GON" 2022 "S1" 7 0
"141" "RUI_0635" "RUI" 2021 "S3" 34 0.05
"142" "ALN_0841" "ALN" 2022 "S1" 6 0
"143" "RUI_0520" "RUI" 2021 "S2" 6 0.01
"144" "RUI_0427" "RUI" 2021 "S3" 7 0.01
"145" "GON_1006" "GON" 2022 "S2" 9 0.01
"146" "ALN_0697" "ALN" 2021 "S2" 6 0.01
"147" "ALN_0702" "ALN" 2021 "S2" 5 0.05
"148" "ALN_0937" "ALN" 2021 "S2" 12 0.08
"149" "ALN_0682" "ALN" 2021 "S2" 13 0.03
"150" "RUI_0544" "RUI" 2021 "S1" 12 0.05
"151" "ALN_0883" "ALN" 2021 "S3" 4 0.5
"152" "GON_1268" "GON" 2021 "S3" 1 0.01
"153" "ALN_0867" "ALN" 2021 "S2" 14 0.25
"154" "ALN_0745" "ALN" 2021 "S3" 21 0.2
"155" "ALN_0881" "ALN" 2021 "S2" 1 0.03
"156" "GON_1229" "GON" 2022 "S1" 5 0
"157" "RUI_0610" "RUI" 2021 "S2" 9 0.03
"158" "RUI_0621" "RUI" 2021 "S2" 33 0.03
"159" "ALN_0657" "ALN" 2021 "S3" 17 0.15
"160" "RAS_1385" "RAS" 2021 "S3" 2 0.08
"161" "GON_1085" "GON" 2022 "S1" 10 0.01
"162" "GON_1225" "GON" 2021 "S2" 2 0.01
"163" "ALN_0891" "ALN" 2021 "S1" 1 0.01
"164" "GON_1165" "GON" 2021 "S4" 4 0.01
"165" "RAS_1367" "RAS" 2021 "S3" 14 0.01
"166" "ALN_0698" "ALN" 2022 "S1" 9 0
"167" "GON_1022" "GON" 2021 "S3" 2 0.01
"168" "RAS_1503" "RAS" 2021 "S3" 2 0.1
"169" "GON_1050" "GON" 2021 "S1" 1 0.01
"170" "RUI_0534" "RUI" 2021 "S1" 9 0.33
"171" "ALN_0832" "ALN" 2021 "S3" 2 0.08
"172" "ALN_0814" "ALN" 2022 "S1" 3 0
"173" "GON_1058" "GON" 2021 "S3" 1 0.3333
"174" "RUI_0574" "RUI" 2021 "S2" 36 0.05
"175" "RAS_1477" "RAS" 2022 "S2" 1 0
"176" "ALN_0896" "ALN" 2021 "S3" 10 0.16
"177" "RUI_0365" "RUI" 2021 "S2" 29 0.01
"178" "RAS_1340" "RAS" 2022 "S2" 7 0
"179" "RAS_1318" "RAS" 2022 "S1" 6 0
"180" "GON_1203" "GON" 2021 "S3" 1 0.01
"181" "ALN_0656" "ALN" 2021 "S3" 15 0.3
"182" "RAS_1372" "RAS" 2021 "S3" 3 0.01
"183" "RUI_0457" "RUI" 2021 "S2" 19 0.01
"184" "RAS_1533" "RAS" 2021 "S3" 20 0.1
"185" "ALN_0663" "ALN" 2021 "S2" 1 0.005
"186" "RAS_1412" "RAS" 2021 "S2" 3 0.06
"187" "RUI_0507" "RUI" 2021 "S3" 7 0.01
"188" "ALN_0688" "ALN" 2022 "S1" 6 0
"189" "GON_1249" "GON" 2022 "S1" 5 0
"190" "ALN_0824" "ALN" 2021 "S2" 4 0.15
"191" "ALN_0646" "ALN" 2021 "S3" 3 0.03
"192" "GON_1019" "GON" 2022 "S2" 8 0
"193" "GON_0972" "GON" 2022 "S1" 7 0.01
